Filename,LowerCorner,UpperCorner
111_E_BUILD_94181079_0.gml,194354.696 2522081.104 0.0,195073.677 2524809.442 37.77
111_E_BUILD_94181081_0.gml,173971.725 2519353.049 0.0,176414.998 2522141.27 43.942
111_E_BUILD_94181081_1.gml,173812.949 2519362.86 0.0,176395.835 2522176.631 42.393
111_E_BUILD_94181082_0.gml,176478.378 2520051.517 0.0,178964.984 2521924.721 57.226
111_E_BUILD_94181082_1.gml,176384.125 2519371.181 0.0,178969.921 2522137.392 57.531
111_E_BUILD_94181082_2.gml,176374.298 2519494.702 0.0,178962.288 2522145.502 49.682
111_E_BUILD_94181082_3.gml,176385.947 2519297.996 0.0,178930.932 2521965.526 47.142
111_E_BUILD_94181083_0.gml,178935.183 2519324.596 0.0,181531.524 2522127.329 36.297
111_E_BUILD_94181084_0.gml,181480.043 2519323.94 0.0,184196.173 2522140.579 47.981
111_E_BUILD_94181085_0.gml,184026.943 2519314.232 0.0,186661.378 2522094.01 38.075
111_E_BUILD_94181085_1.gml,184070.077 2519305.504 0.0,186652.899 2522092.425 29.362
111_E_BUILD_94181086_0.gml,186639.274 2519286.251 0.0,189230.498 2522093.111 130.15
111_E_BUILD_94181087_0.gml,189191.132 2519296.749 0.0,191791.619 2522070.147 156.54
111_E_BUILD_94181088_0.gml,191782.649 2519277.895 0.0,194365.576 2522057.321 138.354
111_E_BUILD_94181089_0.gml,194352.95 2521505.269 0.0,194875.913 2522024.814 16.231
111_E_BUILD_94181091_0.gml,173788.659 2516594.871 0.0,176409.84 2519378.335 21.26
111_E_BUILD_94181091_1.gml,173781.799 2516593.391 0.0,176373.135 2519133.926 27.61
111_E_BUILD_94181092_0.gml,176322.912 2516581.281 0.0,179028.909 2519384.973 42.977
111_E_BUILD_94181092_1.gml,176376.727 2516572.272 0.0,178946.652 2518523.049 51.384
111_E_BUILD_94181093_0.gml,178924.408 2516574.828 0.0,181519.701 2519356.695 39.548
111_E_BUILD_94181093_1.gml,178928.159 2516565.921 0.0,181507.976 2517305.761 59.665
111_E_BUILD_94181094_0.gml,181499.019 2516542.725 0.0,184095.785 2519343.336 40.894
111_E_BUILD_94181095_0.gml,184064.151 2516506.735 0.0,186654.423 2519350.431 47.117
111_E_BUILD_94181096_0.gml,186621.494 2516523.71 0.0,189224.014 2519320.896 83.515
111_E_BUILD_94181097_0.gml,189206.161 2516649.591 0.0,191785.758 2519308.437 119.456
111_E_BUILD_94181098_0.gml,191769.454 2516455.512 0.0,193510.827 2519320.092 44.653
111_E_BUILD_94182001_0.gml,173776.667 2513824.403 0.0,176374.338 2516615.342 72.238
111_E_BUILD_94182001_1.gml,174356.608 2513818.695 0.0,176366.155 2515290.314 72.212
111_E_BUILD_94182002_0.gml,176351.764 2513779.041 0.0,178948.06 2516603.158 81.61
111_E_BUILD_94182002_1.gml,176346.439 2513794.569 0.0,178932.528 2515391.538 86.36
111_E_BUILD_94182002_2.gml,176544.185 2514542.607 0.0,177504.829 2514868.409 30.251
111_E_BUILD_94182003_0.gml,178933.439 2513791.005 0.0,181507.832 2516627.464 90.297
111_E_BUILD_94182003_1.gml,179059.668 2513791.98 0.0,181511.239 2515234.955 108.026
111_E_BUILD_94182003_2.gml,178905.129 2513787.561 0.0,181492.019 2515150.534 86.411
111_E_BUILD_94182004_0.gml,181592.007 2513785.09 0.0,184071.118 2516581.322 62.56
111_E_BUILD_94182004_1.gml,181597.29 2513741.037 0.0,184096.297 2516639.859 65.38
111_E_BUILD_94182004_2.gml,181493.367 2513785.576 0.0,184074.866 2516572.766 59.639
111_E_BUILD_94182004_3.gml,181482.899 2513795.759 0.0,182252.619 2516568.813 83.515
111_E_BUILD_94182005_0.gml,184047.072 2513777.812 0.0,186654.229 2516615.715 36.347
111_E_BUILD_94182006_0.gml,186625.277 2513759.743 0.0,189222.095 2516563.608 55.804
111_E_BUILD_94182007_0.gml,189162.265 2513783.661 0.0,191775.833 2516468.912 49.962
111_E_BUILD_94182008_0.gml,191759.147 2513746.808 0.0,193710.448 2516526.641 81.229
111_E_BUILD_94182011_0.gml,173859.07 2512323.047 0.0,176361.952 2513836.657 58.979
111_E_BUILD_94182012_0.gml,176338.162 2511039.863 0.0,178074.342 2513339.926 59.106
111_E_BUILD_94182012_1.gml,176338.084 2511105.48 0.0,178948.744 2513379.698 55.982
111_E_BUILD_94182012_2.gml,176357.28 2511947.505 0.0,178345.037 2513828.504 58.623
111_E_BUILD_94182012_3.gml,176340.672 2512004.772 0.0,178940.57 2513847.083 72.568
111_E_BUILD_94182012_4.gml,176349.679 2511899.933 0.0,178925.145 2513831.245 65.583
111_E_BUILD_94182013_0.gml,178899.247 2510936.699 0.0,181541.122 2513802.793 55.829
111_E_BUILD_94182013_1.gml,178903.541 2511161.392 0.0,181427.961 2513827.663 56.337
111_E_BUILD_94182014_0.gml,181421.467 2510978.687 0.0,184073.2 2513794.515 59.512
111_E_BUILD_94182014_1.gml,181452.208 2510791.357 0.0,184065.557 2513813.352 42.697
111_E_BUILD_94182015_0.gml,184017.037 2510958.857 0.0,186626.425 2513815.153 56.007
111_E_BUILD_94182016_0.gml,186612.015 2510921.836 0.0,189208.771 2513762.859 26.111
111_E_BUILD_94182017_0.gml,189188.684 2510988.732 0.0,191778.947 2513760.458 67.031
111_E_BUILD_94182018_0.gml,191742.267 2510982.956 0.0,193822.511 2513769.779 56.032
111_E_BUILD_94182021_0.gml,176048.736 2508318.952 0.0,176340.148 2509163.775 58.344
111_E_BUILD_94182022_0.gml,176692.162 2508264.591 0.0,178933.714 2511046.776 106.274
111_E_BUILD_94182022_1.gml,176420.084 2508249.559 0.0,178952.591 2511066.636 58.471
111_E_BUILD_94182022_2.gml,176326.949 2508279.213 0.0,178771.539 2511055.959 55.524
111_E_BUILD_94182022_3.gml,176327.283 2508276.161 0.0,177931.053 2510289.731 43.383
111_E_BUILD_94182023_0.gml,179632.499 2508275.052 0.0,181514.848 2511062.863 52.553
111_E_BUILD_94182023_1.gml,178881.049 2508252.147 0.0,181481.621 2511069.148 79.146
111_E_BUILD_94182023_2.gml,178877.767 2508269.068 0.0,180661.835 2510836.922 135.966
111_E_BUILD_94182023_3.gml,178873.219 2508342.406 0.0,181463.862 2511025.317 108.28
111_E_BUILD_94182024_0.gml,181452.103 2508259.165 0.0,184053.941 2510116.239 60.02
111_E_BUILD_94182024_1.gml,181458.638 2508240.262 0.0,184043.306 2511045.131 52.959
111_E_BUILD_94182024_2.gml,182384.48 2508597.533 0.0,184051.771 2511055.804 56.007
111_E_BUILD_94182024_3.gml,181457.959 2508237.321 0.0,184051.498 2511051.343 59.842
111_E_BUILD_94182025_0.gml,184006.215 2508210.437 0.0,186614.894 2511022.279 26.34
111_E_BUILD_94182026_0.gml,186600.165 2508222.645 0.0,189188.845 2511044.736 19.152
111_E_BUILD_94182027_0.gml,189162.553 2508205.59 0.0,191769.392 2510978.554 55.499
111_E_BUILD_94182027_1.gml,189175.646 2509935.471 0.0,191755.983 2511006.965 17.374
111_E_BUILD_94182028_0.gml,191684.826 2508857.065 0.0,192971.054 2510990.699 36.322
111_E_BUILD_94182031_0.gml,173925.153 2505509.678 0.0,176329.614 2507673.12 102.108
111_E_BUILD_94182031_1.gml,174004.984 2505633.574 0.0,176339.396 2507736.008 105.74
111_E_BUILD_94182032_0.gml,176292.997 2505493.455 0.0,178888.021 2507686.465 149.327
111_E_BUILD_94182032_1.gml,176311.049 2505489.239 0.0,178912.032 2508122.052 155.219
111_E_BUILD_94182032_2.gml,176302.3 2505809.581 0.0,178912.275 2508304.256 149.352
111_E_BUILD_94182032_3.gml,176395.419 2506732.591 0.0,178780.639 2508308.61 108.56
111_E_BUILD_94182033_0.gml,178877.938 2505484.03 0.0,181449.568 2508266.895 105.004
111_E_BUILD_94182033_1.gml,178884.64 2505483.526 0.0,181471.395 2508286.209 77.14
111_E_BUILD_94182033_2.gml,178877.132 2505501.633 0.0,181466.498 2508276.648 108.61
111_E_BUILD_94182033_3.gml,178956.517 2505497.715 0.0,181465.452 2508230.684 107.671
111_E_BUILD_94182033_4.gml,178875.486 2505481.396 0.0,181463.323 2508303.291 88.9
111_E_BUILD_94182033_5.gml,178884.623 2506426.272 0.0,180078.143 2508283.085 80.112
111_E_BUILD_94182034_0.gml,181432.736 2505477.66 0.0,184050.39 2508272.938 92.989
111_E_BUILD_94182034_1.gml,181432.318 2505461.891 0.0,187356.049 2508268.751 88.849
111_E_BUILD_94182035_0.gml,183986.327 2505444.49 0.0,186619.61 2508282.154 58.064
111_E_BUILD_94182035_1.gml,184010.264 2505467.542 0.0,186609.733 2508275.191 56.21
111_E_BUILD_94182036_0.gml,186565.437 2505431.524 0.0,189186.358 2508242.932 22.174
111_E_BUILD_94182036_1.gml,186579.072 2505454.108 0.0,189177.457 2508253.232 35.738
111_E_BUILD_94182037_0.gml,189155.511 2505441.447 0.0,191148.825 2508229.435 45.39
111_E_BUILD_94182037_1.gml,189160.605 2505453.965 0.0,191411.465 2508229.705 46.838
111_E_BUILD_94182041_0.gml,173992.994 2502731.087 0.0,176323.787 2505531.757 75.463
111_E_BUILD_94182041_1.gml,173975.629 2502736.13 0.0,176319.212 2505388.333 58.979
111_E_BUILD_94182042_0.gml,176304.467 2502736.392 0.0,178927.455 2505552.357 73.508
111_E_BUILD_94182042_1.gml,176284.067 2502718.045 0.0,178882.347 2505527.118 115.494
111_E_BUILD_94182042_2.gml,176285.842 2502739.394 0.0,178903.577 2505512.597 108.56
111_E_BUILD_94182042_3.gml,176339.126 2503086.593 0.0,178903.474 2505537.125 109.144
111_E_BUILD_94182042_4.gml,176523.629 2502731.843 0.0,178877.55 2504641.726 141.453
111_E_BUILD_94182042_5.gml,176340.105 2502738.922 0.0,178883.019 2505485.298 101.651
111_E_BUILD_94182043_0.gml,178850.589 2503701.904 0.0,181344.587 2505516.861 94.488
111_E_BUILD_94182043_1.gml,179240.459 2502671.031 0.0,181475.326 2505538.375 101.498
111_E_BUILD_94182043_2.gml,178863.83 2502719.313 0.0,181453.126 2505518.033 106.68
111_E_BUILD_94182043_3.gml,178875.564 2503706.744 0.0,181466.139 2505513.572 105.41
111_E_BUILD_94182043_4.gml,178862.795 2502719.252 0.0,181449.331 2505511.225 119.126
111_E_BUILD_94182043_5.gml,178852.942 2502715.63 0.0,181457.175 2505486.353 110.211
111_E_BUILD_94182044_0.gml,181425.696 2502779.424 0.0,184201.167 2505514.469 91.008
111_E_BUILD_94182044_1.gml,181381.511 2502708.189 0.0,184034.533 2505506.902 111.989
111_E_BUILD_94182044_2.gml,181434.179 2502715.747 0.0,184023.897 2505509.247 91.948
111_E_BUILD_94182044_3.gml,181421.731 2502707.671 0.0,184026.694 2505495.635 91.719
