Filename,LowerCorner,UpperCorner
111_E_BUILD_95184002_0.gml,202178.211 2541384.11 0.0,204706.771 2544170.653 16.231
111_E_BUILD_95184003_0.gml,204676.84 2541431.787 0.0,207254.934 2544174.325 15.9
111_E_BUILD_95184004_0.gml,207303.345 2541380.425 0.0,209810.157 2544173.642 18.364
111_E_BUILD_95184005_0.gml,209845.827 2541580.964 0.0,212394.514 2544144.183 13.513
111_E_BUILD_95184006_0.gml,212365.036 2541365.578 0.0,214948.985 2544156.866 19.939
111_E_BUILD_95184007_0.gml,214940.413 2542693.169 0.0,217486.601 2544002.618 9.576
111_E_BUILD_95184008_0.gml,217845.733 2543825.56 0.0,217853.053 2543844.485 4.235
111_E_BUILD_95184009_0.gml,220800.852 2542835.633 0.0,221505.402 2543027.968 13.31
111_E_BUILD_95184011_0.gml,199540.165 2538639.958 0.0,202136.655 2541413.077 32.715
111_E_BUILD_95184012_0.gml,202108.263 2538651.977 0.0,204707.948 2541414.43 20.523
111_E_BUILD_95184013_0.gml,204667.07 2538634.481 0.0,207150.456 2541381.201 19.66
111_E_BUILD_95184014_0.gml,207252.868 2538685.008 0.0,209681.337 2541383.108 10.109
111_E_BUILD_95184015_0.gml,209804.382 2538686.942 0.0,211704.418 2541320.404 9.779
111_E_BUILD_95184016_0.gml,212960.406 2538724.893 0.0,214391.706 2541375.65 13.31
111_E_BUILD_95184017_0.gml,215710.363 2540092.041 0.0,215739.12 2540122.218 9.881
111_E_BUILD_95184018_0.gml,217708.056 2540606.479 0.0,218008.517 2540958.165 12.192
111_E_BUILD_95184021_0.gml,199528.104 2535873.31 0.0,202130.57 2538655.459 41.021
111_E_BUILD_95184022_0.gml,202106.784 2535981.193 0.0,203864.377 2538641.917 16.002
111_E_BUILD_95184023_0.gml,205286.703 2535854.962 0.0,207230.563 2538632.148 10.287
111_E_BUILD_95184024_0.gml,207235.619 2535853.438 0.0,209641.144 2538541.121 22.606
111_E_BUILD_95184025_0.gml,210368.421 2535944.494 0.0,212228.507 2538426.342 13.589
111_E_BUILD_95184026_0.gml,212848.479 2535835.708 0.0,214441.007 2538596.055 13.411
111_E_BUILD_95184027_0.gml,215975.749 2536145.505 0.0,217256.72 2536432.361 16.485
111_E_BUILD_95184028_0.gml,217493.244 2535858.631 0.0,217610.767 2536433.757 6.528
111_E_BUILD_95184031_0.gml,199526.999 2533094.738 0.0,202143.019 2535891.077 97.638
111_E_BUILD_95184032_0.gml,202091.91 2533082.67 0.0,204668.166 2535722.442 41.148
111_E_BUILD_95184033_0.gml,204616.997 2533068.892 0.0,207245.858 2535856.896 52.324
111_E_BUILD_95184034_0.gml,207200.153 2533628.404 0.0,208906.171 2535845.428 10.49
111_E_BUILD_95184035_0.gml,210162.785 2533080.68 0.0,212356.774 2535844.681 16.002
111_E_BUILD_95184036_0.gml,212348.265 2533065.098 0.0,214173.511 2535838.393 23.8
111_E_BUILD_95184037_0.gml,215450.855 2533096.861 0.0,217489.458 2535126.926 12.675
111_E_BUILD_95184038_0.gml,217480.765 2533508.839 0.0,219899.375 2535529.564 12.827
111_E_BUILD_95184039_0.gml,220067.649 2533851.493 0.0,221915.539 2535422.75 19.609
111_E_BUILD_95184041_0.gml,199504.196 2530328.901 0.0,202106.879 2533115.585 22.25
111_E_BUILD_95184042_0.gml,202082.241 2530308.17 0.0,204664.832 2533125.888 29.286
111_E_BUILD_95184043_0.gml,204634.902 2530292.096 0.0,207246.061 2533099.818 54.356
111_E_BUILD_95184044_0.gml,207220.204 2530298.947 0.0,209795.767 2533053.86 18.974
111_E_BUILD_95184045_0.gml,209778.225 2530402.514 0.0,212352.313 2533097.401 51.029
111_E_BUILD_95184046_0.gml,212382.019 2530808.286 0.0,214914.184 2533051.385 10.77
111_E_BUILD_95184047_0.gml,214970.804 2530615.419 0.0,217200.401 2533049.836 76.632
111_E_BUILD_95184048_0.gml,217569.28 2532315.999 0.0,217583.65 2532324.237 6.833
111_E_BUILD_95184049_0.gml,221000.802 2532705.318 0.0,221020.883 2532735.668 6.731
111_E_BUILD_95184050_0.gml,223140.834 2531837.461 0.0,223157.396 2531865.993 6.375
111_E_BUILD_95184051_0.gml,199541.742 2527555.133 0.0,202102.667 2530343.491 18.974
111_E_BUILD_95184052_0.gml,202067.659 2527528.394 0.0,204668.793 2530352.245 27.356
111_E_BUILD_95184053_0.gml,204618.85 2527552.556 0.0,207221.673 2530333.722 22.428
111_E_BUILD_95184054_0.gml,207209.492 2529244.929 0.0,209353.392 2530330.494 70.079
111_E_BUILD_95184061_0.gml,199747.632 2525472.32 0.0,202093.108 2527578.252 22.809
111_E_BUILD_95184062_0.gml,202051.088 2525470.865 0.0,204633.315 2527570.603 23.622
111_E_BUILD_95184063_0.gml,204643.565 2526667.885 0.0,205716.403 2527557.296 29.134
111_E_BUILD_95191018_0.gml,245389.683 2594858.807 0.0,245397.519 2594866.955 2.972
111_E_BUILD_95191026_0.gml,239059.234 2592451.539 0.0,239070.732 2592464.429 2.87
111_E_BUILD_95191046_0.gml,239759.225 2587707.892 0.0,239766.073 2587717.989 3.099
111_E_BUILD_95191050_0.gml,250654.345 2587029.634 0.0,250666.219 2587036.333 3.683
111_E_BUILD_95191055_0.gml,236824.297 2583701.311 0.0,236837.522 2583715.494 2.997
111_E_BUILD_95191083_0.gml,230981.778 2574552.669 0.0,232534.986 2576642.185 16.612
111_E_BUILD_95191084_0.gml,233031.954 2574905.938 0.0,234931.353 2576797.669 8.134
111_E_BUILD_95191086_0.gml,239371.259 2576082.215 0.0,239383.634 2576097.923 5.236
111_E_BUILD_95191087_0.gml,241409.936 2574937.392 0.0,241790.911 2575645.026 10.211
111_E_BUILD_95191093_0.gml,230681.043 2571806.995 0.0,232902.638 2574576.569 22.301
111_E_BUILD_95191094_0.gml,233578.09 2573468.797 0.0,234623.016 2574218.288 15.951
111_E_BUILD_95191097_0.gml,240796.401 2572534.654 0.0,240821.733 2572556.262 4.09
111_E_BUILD_95192002_0.gml,229994.847 2569078.072 0.0,230349.836 2570160.752 7.01
111_E_BUILD_95192003_0.gml,230534.554 2570293.478 0.0,231604.998 2571768.954 23.139
111_E_BUILD_95192004_0.gml,233039.656 2571727.498 0.0,233074.003 2571796.052 9.83
111_E_BUILD_95192012_0.gml,228314.295 2566277.112 0.0,230357.19 2568993.987 11.125
111_E_BUILD_95192013_0.gml,230363.275 2567272.563 0.0,231351.14 2568962.272 13.081
111_E_BUILD_95192021_0.gml,226058.313 2563502.958 0.0,227763.197 2565637.575 14.656
111_E_BUILD_95192022_0.gml,227793.597 2563542.451 0.0,230254.439 2566156.684 12.319
111_E_BUILD_95192031_0.gml,225227.674 2560730.421 0.0,227364.209 2563499.302 17.043
111_E_BUILD_95192032_0.gml,227882.39 2562607.259 0.0,229969.203 2563386.397 9.576
111_E_BUILD_95192033_0.gml,230401.479 2563302.894 0.0,230406.384 2563307.295 7.468
111_E_BUILD_95192041_0.gml,225241.932 2559648.55 0.0,227492.677 2560671.427 12.929
111_E_BUILD_95192042_0.gml,229397.194 2560071.758 0.0,229411.813 2560080.977 16.154
111_E_BUILD_95192061_0.gml,227129.673 2553362.147 0.0,227133.147 2553366.427 4.877
111_E_BUILD_95192062_0.gml,228320.982 2552673.986 0.0,230159.138 2554651.175 13.284
111_E_BUILD_95192071_0.gml,225371.719 2551457.122 0.0,225419.699 2551557.023 8.864
111_E_BUILD_95192081_0.gml,226881.482 2547921.557 0.0,226896.63 2547943.62 22.581
111_E_BUILD_95192082_0.gml,228969.375 2547304.237 0.0,228984.646 2547319.227 3.835
111_E_BUILD_95193006_0.gml,214168.497 2569098.922 0.0,215002.059 2571007.804 13.259
111_E_BUILD_95193007_0.gml,215030.437 2569051.096 0.0,217435.329 2571453.162 9.931
111_E_BUILD_95193008_0.gml,217947.778 2569065.211 0.0,220012.354 2571822.085 149.555
111_E_BUILD_95193009_0.gml,220499.461 2571727.837 0.0,220509.595 2571735.162 2.388
111_E_BUILD_95193017_0.gml,215012.377 2566884.197 0.0,217171.733 2569054.639 443.205
111_E_BUILD_95193018_0.gml,217883.849 2567831.479 0.0,219566.503 2568973.214 19.558
111_E_BUILD_95193028_0.gml,217741.575 2563511.132 0.0,217761.119 2563531.699 3.023
111_E_BUILD_95193035_0.gml,212096.112 2560814.089 0.0,212418.16 2560947.144 6.604
111_E_BUILD_95193036_0.gml,212424.951 2560883.406 0.0,213607.749 2561620.824 16.129
111_E_BUILD_95193037_0.gml,217487.603 2563378.078 0.0,217512.445 2563397.535 3.556
111_E_BUILD_95193038_0.gml,217704.155 2562079.172 0.0,218880.21 2563476.173 12.802
111_E_BUILD_95193040_0.gml,224543.659 2560763.239 0.0,225180.235 2561532.798 7.341
111_E_BUILD_95193044_0.gml,209059.503 2558082.848 0.0,209867.246 2559632.466 6.502
111_E_BUILD_95193045_0.gml,209862.182 2558060.474 0.0,212315.605 2560754.594 10.82
111_E_BUILD_95193046_0.gml,212544.153 2558280.787 0.0,214939.39 2560720.066 10.262
111_E_BUILD_95193047_0.gml,216030.44 2558160.739 0.0,217121.865 2559871.234 13.31
111_E_BUILD_95193048_0.gml,217583.244 2558007.784 0.0,220090.171 2559828.917 10.389
111_E_BUILD_95193049_0.gml,220113.906 2558040.938 0.0,222613.568 2560463.513 13.259
111_E_BUILD_95193050_0.gml,222655.029 2558170.282 0.0,225203.506 2560486.638 10.008
111_E_BUILD_95193054_0.gml,207929.902 2555236.73 0.0,209755.144 2557993.221 12.979
111_E_BUILD_95193055_0.gml,209882.4 2555286.392 0.0,212412.479 2557809.659 13.716
111_E_BUILD_95193056_0.gml,212413.725 2555621.121 0.0,214498.236 2557863.781 7.061
111_E_BUILD_95193057_0.gml,215076.596 2555200.976 0.0,217550.57 2557808.067 278.79
111_E_BUILD_95193058_0.gml,217521.458 2555206.344 0.0,220107.17 2557956.606 295.478
111_E_BUILD_95193059_0.gml,220095.821 2555221.938 0.0,222635.62 2557964.901 527.787
111_E_BUILD_95193060_0.gml,222661.127 2555771.252 0.0,224137.074 2557609.48 12.979
111_E_BUILD_95193063_0.gml,205279.616 2552459.23 0.0,207307.238 2554771.971 22.606
111_E_BUILD_95193064_0.gml,207272.46 2552477.325 0.0,209766.46 2555092.725 43.104
111_E_BUILD_95193065_0.gml,209860.22 2552654.738 0.0,212113.718 2555065.304 16.535
111_E_BUILD_95193066_0.gml,212613.482 2552990.676 0.0,214922.551 2554735.391 13.437
111_E_BUILD_95193067_0.gml,215185.2 2552430.598 0.0,217535.72 2555204.449 17.348
111_E_BUILD_95193068_0.gml,217540.495 2552498.559 0.0,219414.161 2555201.906 112.878
111_E_BUILD_95193069_0.gml,220126.225 2552453.935 0.0,222310.382 2555199.571 10.744
111_E_BUILD_95193070_0.gml,223237.325 2554294.123 0.0,223950.292 2555114.505 10.185
111_E_BUILD_95193071_0.gml,201733.163 2549961.047 0.0,202067.532 2550554.723 12.852
111_E_BUILD_95193072_0.gml,202254.964 2549699.191 0.0,204720.034 2551962.539 13.335
111_E_BUILD_95193073_0.gml,204710.691 2549708.132 0.0,207273.149 2552463.906 22.352
111_E_BUILD_95193074_0.gml,207285.648 2550268.408 0.0,209759.587 2552443.642 12.979
111_E_BUILD_95193075_0.gml,210129.936 2550815.551 0.0,212313.521 2552297.533 13.386
111_E_BUILD_95193076_0.gml,212818.67 2549935.21 0.0,214978.948 2552356.962 17.374
111_E_BUILD_95193077_0.gml,214964.276 2549705.225 0.0,217522.018 2552449.756 28.042
111_E_BUILD_95193078_0.gml,217548.883 2550682.711 0.0,219559.422 2552443.966 17.932
111_E_BUILD_95193079_0.gml,220470.328 2549666.159 0.0,222646.166 2552303.054 388.112
111_E_BUILD_95193080_0.gml,222751.136 2549700.491 0.0,225192.747 2552322.588 21.971
111_E_BUILD_95193081_0.gml,199627.757 2546950.148 0.0,202115.774 2549635.332 10.922
111_E_BUILD_95193082_0.gml,202225.385 2546949.892 0.0,204711.158 2549713.588 15.951
111_E_BUILD_95193083_0.gml,204706.204 2546927.523 0.0,207207.506 2549679.317 16.002
111_E_BUILD_95193084_0.gml,207324.301 2546922.997 0.0,209379.933 2547939.925 10.389
111_E_BUILD_95193085_0.gml,209837.167 2547067.426 0.0,211772.136 2549185.121 13.36
111_E_BUILD_95193086_0.gml,213172.147 2547008.419 0.0,214954.379 2549624.71 12.802
111_E_BUILD_95193087_0.gml,214948.68 2546915.4 0.0,217448.841 2549426.955 567.538
111_E_BUILD_95193088_0.gml,218002.576 2547241.578 0.0,219970.387 2548704.4 16.967
111_E_BUILD_95193089_0.gml,220115.074 2548046.807 0.0,221308.8 2549664.571 775.132
111_E_BUILD_95193090_0.gml,224102.929 2548663.153 0.0,225156.08 2549604.459 13.437
111_E_BUILD_95193091_0.gml,199564.068 2544501.611 0.0,202119.641 2546951.561 20.32
111_E_BUILD_95193092_0.gml,202138.137 2544157.924 0.0,204704.925 2546917.019 13.233
111_E_BUILD_95193093_0.gml,204693.075 2544151.374 0.0,207303.073 2546936.892 19.075
111_E_BUILD_95193094_0.gml,207248.173 2544167.732 0.0,209825.014 2546925.072 16.332
111_E_BUILD_95193095_0.gml,209822.448 2544138.019 0.0,212388.87 2546857.242 15.57
111_E_BUILD_95193096_0.gml,212372.791 2544128.998 0.0,214957.206 2546883.837 19.126
111_E_BUILD_95193097_0.gml,214937.823 2544227.878 0.0,217509.664 2546915.972 431.775
111_E_BUILD_95193098_0.gml,217568.902 2544243.377 0.0,219330.778 2546515.275 16.561
111_E_BUILD_95193099_0.gml,220847.822 2544524.422 0.0,220864.343 2544536.601 3.912
111_E_BUILD_95194078_0.gml,220011.448 2577581.389 0.0,220084.41 2577766.289 3.708
111_E_BUILD_95194079_0.gml,220329.857 2577928.019 0.0,220343.759 2577941.661 26.213
111_E_BUILD_95194087_0.gml,215214.659 2575288.853 0.0,217482.884 2576913.904 13.462
111_E_BUILD_95194088_0.gml,217834.114 2574621.694 0.0,220053.249 2577186.234 13.487
111_E_BUILD_95194089_0.gml,220429.639 2574569.002 0.0,222467.118 2576981.464 261.747
111_E_BUILD_95194096_0.gml,213147.679 2574067.521 0.0,213591.617 2574119.624 4.343
111_E_BUILD_95194097_0.gml,216315.387 2571828.324 0.0,217562.581 2573778.715 13.589
111_E_BUILD_95194098_0.gml,217653.009 2571811.005 0.0,220108.669 2574427.338 48.412
111_E_BUILD_95194099_0.gml,220109.775 2571829.029 0.0,221589.643 2574583.19 25.679
111_E_BUILD_96194031_0.gml,252724.703 2590745.71 0.0,252737.703 2590752.173 3.429
111_E_BUILD_96194061_0.gml,252625.601 2580636.075 0.0,252634.686 2580642.353 3.785
111_E_BUILD__0.gml,176789.812 2499930.548 0.0,182458.206 2502769.732 13.995
111_F_BUILD_96221003_0.gml,282795.024 2762848.824 0.0,283634.225 2763567.509 58.039
111_F_BUILD_96221004_0.gml,283616.632 2762847.505 0.0,286162.234 2763812.703 46.634
111_F_BUILD_96221005_0.gml,286148.633 2762862.283 0.0,288669.174 2764081.172 21.006
111_F_BUILD_96221006_0.gml,288675.256 2762853.063 0.0,291253.719 2765654.237 38.506
111_F_BUILD_96221007_0.gml,291151.431 2762909.795 0.0,293723.229 2765660.46 70.104
111_F_BUILD_96221007_1.gml,291389.885 2762903.59 0.0,293731.407 2765659.639 59.512
111_F_BUILD_96221007_2.gml,291117.574 2762845.042 0.0,293733.569 2765669.366 73.508
111_F_BUILD_96221007_3.gml,291393.659 2763508.899 0.0,293448.603 2765698.662 70.002
111_F_BUILD_96221008_0.gml,293663.796 2762855.373 0.0,296259.612 2765678.314 103.48
111_F_BUILD_96221008_1.gml,293707.445 2762890.942 0.0,296256.883 2765348.265 120.675
111_F_BUILD_96221008_2.gml,293716.411 2762889.556 0.0,296252.105 2765396.245 80.493
111_F_BUILD_96221009_0.gml,296200.381 2762881.604 0.0,298781.598 2765737.726 76.175
111_F_BUILD_96221009_1.gml,296198.714 2763196.296 0.0,298754.98 2765710.802 89.586
111_F_BUILD_96221009_2.gml,296231.366 2762893.33 0.0,298791.578 2765693.513 83.998
111_F_BUILD_96221010_0.gml,298748.381 2762907.221 0.0,301309.268 2765701.487 94.488
111_F_BUILD_96221010_1.gml,298737.318 2762916.477 0.0,301304.907 2765710.617 91.008
111_F_BUILD_96221010_2.gml,300385.505 2762922.097 0.0,301211.126 2765701.642 76.987
111_F_BUILD_96221013_0.gml,282674.848 2760859.554 0.0,283654.117 2762878.505 49.86
111_F_BUILD_96221014_0.gml,283612.188 2760063.739 0.0,286190.216 2762929.547 85.192
111_F_BUILD_96221014_1.gml,283623.182 2760087.007 0.0,285419.77 2762883.118 59.512
111_F_BUILD_96221014_2.gml,283612.159 2760089.637 0.0,285215.909 2762872.264 52.502
111_F_BUILD_96221015_0.gml,286127.781 2760089.505 0.0,288733.6 2762868.533 88.57
111_F_BUILD_96221016_0.gml,288671.6 2760100.454 0.0,291244.04 2762904.522 51.232
111_F_BUILD_96221016_1.gml,288676.118 2760097.703 0.0,290647.907 2762886.601 48.997
111_F_BUILD_96221017_0.gml,291164.584 2760110.542 0.0,293759.912 2762934.81 71.349
111_F_BUILD_96221017_1.gml,291160.306 2760204.339 0.0,293731.58 2762904.819 70.002
111_F_BUILD_96221018_0.gml,293702.514 2760123.786 0.0,296269.666 2762924.322 83.439
111_F_BUILD_96221019_0.gml,296231.885 2760146.172 0.0,298787.867 2762920.565 72.822
111_F_BUILD_96221020_0.gml,298756.333 2760124.944 0.0,301324.092 2762931.292 57.455
111_F_BUILD_96221023_0.gml,282032.585 2757359.189 0.0,283657.912 2759655.107 21.006
111_F_BUILD_96221024_0.gml,283606.359 2757319.191 0.0,286165.939 2760120.952 53.188
111_F_BUILD_96221025_0.gml,286139.03 2757297.965 0.0,288686.431 2760103.5 91.008
111_F_BUILD_96221025_1.gml,286145.241 2757333.938 0.0,288721.811 2760144.182 109.982
111_F_BUILD_96221026_0.gml,288662.723 2757571.563 0.0,291219.238 2760143.64 83.718
111_F_BUILD_96221027_0.gml,291191.234 2757339.264 0.0,293691.38 2760121.915 47.269
111_F_BUILD_96221028_0.gml,293734.228 2757358.112 0.0,296269.638 2760130.295 84.811
111_F_BUILD_96221029_0.gml,296244.539 2757377.721 0.0,298776.286 2760126.165 56.007
111_F_BUILD_96221030_0.gml,298782.003 2757419.234 0.0,301318.949 2760158.005 66.497
111_F_BUILD_96221030_1.gml,298898.072 2759833.14 0.0,300854.619 2760156.767 38.506
111_F_BUILD_96221033_0.gml,282188.063 2754925.189 0.0,283644.089 2757321.464 25.298
111_F_BUILD_96221034_0.gml,283647.58 2754553.397 0.0,286185.629 2757307.389 48.997
111_F_BUILD_96221035_0.gml,286149.672 2754550.296 0.0,288691.737 2757357.132 48.997
111_F_BUILD_96221036_0.gml,288684.653 2754649.122 0.0,291207.473 2757355.075 29.693
111_F_BUILD_96221037_0.gml,291230.586 2754584.908 0.0,293748.622 2757369.499 28.88
111_F_BUILD_96221038_0.gml,293736.291 2754585.841 0.0,296267.186 2757361.084 23.419
111_F_BUILD_96221039_0.gml,296275.812 2754596.109 0.0,298742.856 2757295.132 18.771
111_F_BUILD_96221040_0.gml,299262.23 2754640.693 0.0,301329.508 2757013.933 20.295
111_F_BUILD_96221043_0.gml,283642.735 2754146.146 0.0,283648.261 2754150.109 13.691
111_F_BUILD_96221044_0.gml,283638.821 2752739.944 0.0,285967.593 2754565.858 13.665
111_F_BUILD_96221045_0.gml,286172.986 2751843.263 0.0,288708.843 2754584.293 35.001
111_F_BUILD_96221046_0.gml,288693.899 2751801.863 0.0,291117.648 2754567.16 20.015
111_F_BUILD_96221047_0.gml,291497.453 2751823.657 0.0,293726.713 2754569.788 23.038
111_F_BUILD_96221048_0.gml,293753.46 2751818.754 0.0,296276.124 2754598.326 19.71
111_F_BUILD_96221049_0.gml,296281.617 2751951.693 0.0,298761.984 2754596.323 16.078
111_F_BUILD_96221050_0.gml,299295.423 2752016.146 0.0,301335.667 2754592.684 26.314
111_F_BUILD_96221054_0.gml,284966.037 2749030.612 0.0,286198.19 2751627.976 23.266
111_F_BUILD_96221055_0.gml,286172.667 2749034.881 0.0,288701.122 2751678.565 23.063
111_F_BUILD_96221056_0.gml,288721.916 2749071.595 0.0,291243.122 2751804.709 22.733
111_F_BUILD_96221057_0.gml,291227.617 2749080.936 0.0,293765.364 2751811.326 19.939
111_F_BUILD_96221058_0.gml,293758.489 2749047.185 0.0,296276.481 2751817.698 22.504
111_F_BUILD_96221059_0.gml,296720.26 2749178.49 0.0,297401.562 2749636.339 13.183
111_F_BUILD_96221064_0.gml,284008.241 2748521.4 0.0,286188.283 2748962.752 10.465
111_F_BUILD_96221065_0.gml,286183.539 2747670.295 0.0,288562.457 2749023.59 15.85
111_F_BUILD_96221066_0.gml,288882.899 2748054.639 0.0,291226.215 2748893.46 9.83
111_F_BUILD_96221067_0.gml,291755.243 2747215.074 0.0,293708.522 2749029.124 15.57
111_F_BUILD_96221068_0.gml,293775.958 2746501.682 0.0,296266.548 2749058.24 23.317
111_F_BUILD_96221069_0.gml,296309.415 2748037.293 0.0,296886.953 2748724.756 11.811
111_F_BUILD_96221070_0.gml,301033.262 2746443.839 0.0,301330.142 2747033.103 9.576
111_F_BUILD_96221078_0.gml,295382.091 2746048.571 0.0,295461.44 2746176.061 6.68
111_F_BUILD_96221080_0.gml,301026.86 2743828.851 0.0,301031.013 2743832.946 2.667
111_F_BUILD_96221089_0.gml,298118.737 2740780.56 0.0,298797.784 2741408.777 13.36
111_F_BUILD_96221090_0.gml,298988.086 2740824.006 0.0,301334.493 2743514.264 19.685
111_F_BUILD_96231090_0.gml,299770.11 2796152.902 0.0,301173.269 2796810.654 17.501
111_F_BUILD_96231099_0.gml,296312.499 2793350.261 0.0,298665.741 2795728.083 55.016
111_F_BUILD_96231100_0.gml,298649.517 2793365.699 0.0,301184.64 2796148.537 56.769
111_F_BUILD_96232008_0.gml,294442.827 2790607.703 0.0,296156.6 2793231.199 42.012
111_F_BUILD_96232009_0.gml,296140.399 2790591.745 0.0,298678.081 2793387.406 48.997
111_F_BUILD_96232010_0.gml,298663.276 2790599.138 0.0,301193.972 2793382.435 42.596
111_F_BUILD_96232017_0.gml,292947.643 2787848.206 0.0,293646.002 2789101.123 70.002
111_F_BUILD_96232018_0.gml,293573.359 2787787.837 0.0,296175.738 2790596.888 57.099
111_F_BUILD_96232019_0.gml,296153.719 2787817.859 0.0,298694.925 2790611.795 38.506
111_F_BUILD_96232020_0.gml,298671.789 2787829.38 0.0,301191.119 2790609.428 62.865
111_F_BUILD_96232027_0.gml,291139.11 2785136.546 0.0,293661.62 2787819.033 108.966
111_F_BUILD_96232028_0.gml,293647.688 2785045.182 0.0,296167.494 2787824.587 109.906
111_F_BUILD_96232028_1.gml,293652.965 2785022.065 0.0,296173.713 2787834.447 109.347
111_F_BUILD_96232028_2.gml,293655.811 2785042.233 0.0,295430.832 2787741.245 83.998
111_F_BUILD_96232029_0.gml,296159.97 2785103.124 0.0,298696.303 2787832.704 42.113
111_F_BUILD_96232030_0.gml,298675.584 2785061.581 0.0,301204.398 2787847.429 48.997
111_F_BUILD_96232036_0.gml,289113.845 2782251.476 0.0,291152.352 2784326.615 59.436
111_F_BUILD_96232037_0.gml,291123.409 2782282.958 0.0,293683.282 2784603.79 59.411
111_F_BUILD_96232038_0.gml,293655.265 2782275.605 0.0,296179.881 2785057.463 161.036
111_F_BUILD_96232038_1.gml,293634.526 2782288.935 0.0,296201.816 2785059.758 161.061
111_F_BUILD_96232039_0.gml,296145.205 2782282.957 0.0,298703.237 2785050.532 140.792
111_F_BUILD_96232040_0.gml,298690.559 2782737.744 0.0,299933.253 2785056.029 135.458
111_F_BUILD_96232042_0.gml,280302.971 2779502.221 0.0,280996.697 2779712.179 4.496
111_F_BUILD_96232043_0.gml,283280.54 2779475.536 0.0,283584.133 2779548.594 7.01
111_F_BUILD_96232044_0.gml,283586.254 2779474.495 0.0,286105.879 2780537.081 12.649
111_F_BUILD_96232045_0.gml,286132.247 2779484.444 0.0,288625.832 2781677.792 60.02
111_F_BUILD_96232046_0.gml,288599.726 2779495.088 0.0,291147.278 2782280.852 76.175
111_F_BUILD_96232047_0.gml,291156.542 2779502.508 0.0,293669.881 2782227.57 29.312
111_F_BUILD_96232048_0.gml,293649.254 2779505.656 0.0,296166.902 2782284.095 109.271
111_F_BUILD_96232049_0.gml,296188.855 2779585.536 0.0,298495.342 2782290.91 109.906
111_F_BUILD_96232049_1.gml,296241.492 2779585.182 0.0,298489.079 2782298.073 108.839
111_F_BUILD_96232052_0.gml,278583.637 2777050.681 0.0,281061.883 2779477.811 95.682
111_F_BUILD_96232053_0.gml,281066.32 2776717.885 0.0,283616.443 2779475.689 19.609
111_F_BUILD_96232054_0.gml,283572.017 2776705.05 0.0,286112.301 2779486.854 30.404
111_F_BUILD_96232055_0.gml,286106.515 2776704.428 0.0,288674.983 2779500.156 19.431
111_F_BUILD_96232056_0.gml,288610.148 2776707.492 0.0,291165.862 2779504.584 16.764
111_F_BUILD_96232057_0.gml,291142.023 2776713.219 0.0,293707.875 2779506.772 19.761
111_F_BUILD_96232058_0.gml,293633.021 2776710.703 0.0,296201.21 2779529.609 78.74
111_F_BUILD_96232059_0.gml,296199.525 2776742.606 0.0,297346.581 2778599.619 20.447
111_F_BUILD_96232062_0.gml,280549.418 2776625.137 0.0,280560.992 2776637.683 4.978
111_F_BUILD_96232063_0.gml,282335.841 2775679.579 0.0,283591.831 2776708.545 16.612
111_F_BUILD_96232064_0.gml,283588.446 2773939.617 0.0,286130.441 2776719.555 43.231
111_F_BUILD_96232065_0.gml,286077.237 2773915.54 0.0,288656.466 2776714.842 138.608
111_F_BUILD_96232065_1.gml,286099.906 2773931.836 0.0,288653.464 2776729.35 108.433
111_F_BUILD_96232066_0.gml,288623.323 2773963.46 0.0,291207.747 2776760.001 56.921
111_F_BUILD_96232066_1.gml,288630.917 2773944.196 0.0,291149.904 2776729.154 57.099
111_F_BUILD_96232067_0.gml,291098.033 2773950.226 0.0,293696.541 2776755.205 80.493
111_F_BUILD_96232068_0.gml,293656.713 2773931.486 0.0,296230.814 2776745.94 90.068
111_F_BUILD_96232068_1.gml,293677.563 2773938.254 0.0,296220.3 2776742.679 62.992
111_F_BUILD_96232069_0.gml,296191.479 2773981.186 0.0,298725.564 2776737.845 59.512
111_F_BUILD_96232069_1.gml,296197.418 2773961.023 0.0,298750.613 2776725.714 95.86
111_F_BUILD_96232069_2.gml,296194.395 2774269.564 0.0,298759.505 2776738.627 102.895
111_F_BUILD_96232069_3.gml,296185.79 2774535.152 0.0,298763.432 2776546.599 108.915
111_F_BUILD_96232069_4.gml,296193.254 2773965.269 0.0,298752.635 2776741.189 108.788
111_F_BUILD_96232069_5.gml,296194.321 2773981.339 0.0,298733.306 2776296.765 56.337
111_F_BUILD_96232070_0.gml,298698.585 2773964.469 0.0,300768.65 2776342.642 77.14
111_F_BUILD_96232070_1.gml,298664.489 2774229.363 0.0,300638.814 2776334.047 108.483
111_F_BUILD_96232070_2.gml,298721.382 2773985.206 0.0,300727.728 2775698.878 98.603
111_F_BUILD_96232074_0.gml,284541.714 2773151.216 0.0,286128.505 2773949.661 56.109
111_F_BUILD_96232075_0.gml,286116.04 2773075.671 0.0,288649.04 2773978.117 118.796
111_F_BUILD_96232076_0.gml,288638.526 2771202.064 0.0,291179.241 2773961.383 39.497
111_F_BUILD_96232077_0.gml,291122.124 2771164.987 0.0,293731.622 2773976.531 59.512
111_F_BUILD_96232077_1.gml,291219.119 2772900.778 0.0,293705.288 2773986.373 65.176
111_F_BUILD_96232078_0.gml,293649.362 2771181.248 0.0,296251.805 2774016.539 183.464
111_F_BUILD_96232078_1.gml,293679.431 2771174.691 0.0,296232.49 2773970.527 73.508
